question_order,row_id,annotator,status,raw,legal_llmlingua2-r1p1,oracle_bgb_paragraph_ids,no_context,original_labels,original_positions,original_rank_groups,notes,reference_issue,material_difference,cannot_assess
1,domainllm:validation:000366:e9ad0f1b4612,annotator_1,ranked,3.0,2.0,1.0,4.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}","{""A"": 2, ""B"": 4, ""C"": 1, ""D"": 3}","[[""C""], [""A""], [""D""], [""B""]]",,False,,False
1,domainllm:validation:000366:e9ad0f1b4612,annotator_2,ranked,1.5,3.0,1.5,4.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 1, ""B"": 2, ""C"": 1, ""D"": 3}","[[""A"", ""C""], [""B""], [""D""]]",,False,,False
2,domainllm:validation:000281:9069b9360858,annotator_1,ranked,1.0,3.0,3.0,3.0,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 1, ""B"": 2, ""C"": 2, ""D"": 2}","[[""A""], [""B"", ""C"", ""D""]]",Keine der Antworten kommt zum richtigen Ergebnis. Alle Antworten enthalten schwere rechtliche Fehler. Antwort C enthält einen Fehler über den Sachverhalt (Kind hat den Kindergarten verlassen -> nicht der Fall),False,,False
2,domainllm:validation:000281:9069b9360858,annotator_2,ranked,1.0,3.5,3.5,2.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 3, ""B"": 1, ""C"": 2, ""D"": 3}","[[""B""], [""C""], [""A"", ""D""]]",,False,,False
3,domainllm:validation:000506:5631e08a706f,annotator_1,ranked,4.0,3.0,1.0,2.0,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]",,False,,False
3,domainllm:validation:000506:5631e08a706f,annotator_2,ranked,2.5,1.0,4.0,2.5,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}","{""A"": 3, ""B"": 2, ""C"": 1, ""D"": 2}","[[""C""], [""B"", ""D""], [""A""]]",Alle Antworten sind schlecht,False,,False
4,domainllm:validation:000335:f09dfcd1ecb8,annotator_1,ranked,3.0,2.0,4.0,1.0,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 3, ""B"": 4, ""C"": 1, ""D"": 2}","[[""C""], [""D""], [""A""], [""B""]]","Antwort C ist die einzig korrekte.
Antwort B halluziniert eine Norm (1018 Abs. 2 BGB existiert nicht)",False,,False
4,domainllm:validation:000335:f09dfcd1ecb8,annotator_2,ranked,2.5,4.0,2.5,1.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""raw"", ""D"": ""no_context""}","{""A"": 3, ""B"": 2, ""C"": 2, ""D"": 1}","[[""D""], [""B"", ""C""], [""A""]]",,False,,False
5,domainllm:validation:000215:89bd923cbd14,annotator_1,ranked,2.0,4.0,1.0,3.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 4, ""B"": 3, ""C"": 2, ""D"": 1}","[[""D""], [""C""], [""B""], [""A""]]","Antwort A und B referenzieren auf irrelevante Normen
Antwort A, B und C verwechseln teilweise Mieter und Vermieter
",False,,False
5,domainllm:validation:000215:89bd923cbd14,annotator_2,ranked,3.0,4.0,1.5,1.5,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 3, ""C"": 1, ""D"": 1}","[[""C"", ""D""], [""A""], [""B""]]",,False,,False
6,domainllm:validation:000473:174d08281aaa,annotator_1,ranked,1.0,2.0,4.0,3.0,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 1, ""B"": 2, ""C"": 3, ""D"": 4}","[[""A""], [""B""], [""C""], [""D""]]","Alle Antworten im Grundsatz richtig.
Antwort A, B und D wenden 545 BGB falsch an, Antwort C vergisst die Norm komplett.",False,,False
6,domainllm:validation:000473:174d08281aaa,annotator_2,ranked,1.0,2.0,4.0,3.0,"{""A"": ""no_context"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 3, ""B"": 2, ""C"": 1, ""D"": 4}","[[""C""], [""B""], [""A""], [""D""]]",,False,,False
7,domainllm:validation:000176:868bf449968e,annotator_1,ranked,1.0,4.0,3.0,2.0,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","{""A"": 4, ""B"": 1, ""C"": 3, ""D"": 2}","[[""B""], [""D""], [""C""], [""A""]]",,False,,False
7,domainllm:validation:000176:868bf449968e,annotator_2,ranked,1.0,4.0,3.0,2.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}","{""A"": 2, ""B"": 1, ""C"": 3, ""D"": 4}","[[""B""], [""A""], [""C""], [""D""]]",,False,,False
8,domainllm:validation:000175:5fd888e68397,annotator_1,ranked,4.0,3.0,1.0,2.0,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","{""A"": 2, ""B"": 4, ""C"": 3, ""D"": 1}","[[""D""], [""A""], [""C""], [""B""]]",,False,,False
