question_order,row_id,annotator,status,reference_issue,original_labels,notes_de,notes_en,translation_note
2,domainllm:validation:000281:9069b9360858,annotator_1,ranked,False,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}",Keine der Antworten kommt zum richtigen Ergebnis. Alle Antworten enthalten schwere rechtliche Fehler. Antwort C enthält einen Fehler über den Sachverhalt (Kind hat den Kindergarten verlassen -> nicht der Fall),None of the answers reaches the correct outcome. All answers contain serious legal errors. Answer C misstates the facts (the child left the kindergarten -> that was not the case).,
3,domainllm:validation:000506:5631e08a706f,annotator_2,ranked,False,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""no_context"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}",Alle Antworten sind schlecht,All answers are poor.,
4,domainllm:validation:000335:f09dfcd1ecb8,annotator_1,ranked,False,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}","Antwort C ist die einzig korrekte.
Antwort B halluziniert eine Norm (1018 Abs. 2 BGB existiert nicht)","Answer C is the only correct one.
Answer B hallucinates a legal provision (section 1018(2) BGB does not exist).",
5,domainllm:validation:000215:89bd923cbd14,annotator_1,ranked,False,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""raw"", ""D"": ""oracle_bgb_paragraph_ids""}","Antwort A und B referenzieren auf irrelevante Normen
Antwort A, B und C verwechseln teilweise Mieter und Vermieter
","Answers A and B refer to irrelevant legal provisions.
Answers A, B and C sometimes confuse the tenant and the landlord.",
6,domainllm:validation:000473:174d08281aaa,annotator_1,ranked,False,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}","Alle Antworten im Grundsatz richtig.
Antwort A, B und D wenden 545 BGB falsch an, Antwort C vergisst die Norm komplett.","All answers are correct in principle.
Answers A, B and D misapply section 545 BGB; answer C omits the provision entirely.",
11,domainllm:validation:000294:67d60419fa37,annotator_2,ungradable,True,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}",Referenzantwort beantwortet Frage nicht,The reference answer does not answer the question.,
12,domainllm:validation:000029:7290cdc3cc86,annotator_1,ranked,False,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""oracle_bgb_paragraph_ids""}","Alle Antworten ziemlich wirr. Antwort C ist am schlechtesten, kommt aber als einzige zum richtigen Ergebnis.","All answers are rather confused. Answer C is the worst, but it is the only one to reach the correct outcome.",
19,domainllm:validation:000431:bda8f3047e5d,annotator_1,ranked,False,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}","Alle Begründungen sind sehr fehlerhaft, zudem verwechseln die Antworten regelmäßig Käufer und Verkäufer und die Handlungen der Beteiligten",All explanations are seriously flawed; the answers also repeatedly confuse the buyer and seller and the actions of the parties.,
20,domainllm:validation:000185:17d4aca7f8ec,annotator_1,ranked,False,"{""A"": ""no_context"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""legal_llmlingua2-r1p1"", ""D"": ""raw""}",Alle Antworten korrekt,All answers are correct.,
21,domainllm:validation:000096:20a327e10217,annotator_1,ranked,False,"{""A"": ""raw"", ""B"": ""oracle_bgb_paragraph_ids"", ""C"": ""no_context"", ""D"": ""legal_llmlingua2-r1p1""}",Alle Antworten korrekt,All answers are correct.,
26,domainllm:validation:000429:af5cc6630f17,annotator_1,ranked,False,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}",Alle Antworten sehr schlecht.,All answers are very poor.,
27,domainllm:validation:000490:8482cf28da36,annotator_1,ranked,False,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""raw"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}",Sämtliche Antworten verstehen § 94 BGB falsch bzw. ziehen die falschen Schlüsse daraus,All answers misunderstand section 94 BGB or draw the wrong conclusions from it.,
29,domainllm:validation:000394:d3e187949913,annotator_1,ranked,False,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""no_context""}",Alle Antworten extrem schlecht,All answers are extremely poor.,
30,domainllm:validation:000393:1d685913bcf9,annotator_1,ranked,False,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}",Alle Antworten sind extrem schlecht.,All answers are extremely poor.,
38,domainllm:validation:000283:776fa0c3eb13,annotator_1,ranked,False,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""raw""}",Alle Antworten sind extrem schlecht,All answers are extremely poor.,
39,domainllm:validation:000071:63e60d47088e,annotator_1,ranked,False,"{""A"": ""raw"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""no_context"", ""D"": ""oracle_bgb_paragraph_ids""}",Alle Antworten falsch,All answers are wrong.,
51,domainllm:validation:000240:604e5934736a,annotator_1,ranked,False,"{""A"": ""oracle_bgb_paragraph_ids"", ""B"": ""legal_llmlingua2-r1p1"", ""C"": ""raw"", ""D"": ""no_context""}",Alle Antworten grob falsch,All answers are seriously wrong.,
65,domainllm:validation:000055:c3ca71a40eaa,annotator_1,ranked,False,"{""A"": ""legal_llmlingua2-r1p1"", ""B"": ""no_context"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""raw""}",Alle Antworten gut,All answers are good.,
66,domainllm:validation:000463:897e62f0026a,annotator_1,ungradable,False,"{""A"": ""no_context"", ""B"": ""raw"", ""C"": ""oracle_bgb_paragraph_ids"", ""D"": ""legal_llmlingua2-r1p1""}",Der Sachverhalt ist unverständlich,The factual scenario is incomprehensible.,
