condition_id,label,requested_ratio,row_weighted_downstream_deletion_fraction,outcome_correctness,legal_reasoning_correctness,legal_basis_correctness,overall_score
raw,Raw statute text,,,0.6225855513307985,0.5501520912547528,0.6245437262357414,0.5990937896070976
no_context,No context,,,0.5216539923954372,0.32519011406844106,0.2906653992395437,0.379169835234474
oracle_bgb_paragraph_ids,Paragraph IDs (privileged),,,0.5813117870722433,0.4700380228136882,0.5036501901140684,0.5183333333333333
legal_llmlingua2-r1p1,Legal LLMLingua-2,1.1,0.105026718888105,0.6191254752851711,0.5443726235741444,0.6097148288973384,0.5910709759188846
legal_llmlingua2-r1p25,Legal LLMLingua-2,1.25,0.21600538432221605,0.6133079847908746,0.5320342205323194,0.593745247148289,0.5796958174904944
legal_llmlingua2-r2p0,Legal LLMLingua-2,2.0,0.5118917297135119,0.6006653992395437,0.4997528517110266,0.5674714828897338,0.5559632446134347
xprovence_six_probe_atoms-r1p1,XProvence-derived,1.1,0.1634595892021634,0.6178326996197719,0.5495627376425856,0.6108365019011407,0.5927439797211661
xprovence_six_probe_atoms-r1p25,XProvence-derived,1.25,0.26081527071626076,0.610893536121673,0.5105513307984791,0.5687642585551331,0.5634030418250952
xprovence_six_probe_atoms-r2p0,XProvence-derived,2.0,0.5424866811005424,0.5804942965779467,0.4729467680608365,0.5201330798479087,0.5245247148288973
multi_probe_bge-r1p1,Multi-probe BGE,1.1,0.1759148887861759,0.5906083650190115,0.5087262357414448,0.562148288973384,0.5538276299112801
multi_probe_bge-r1p25,Multi-probe BGE,1.25,0.2679673372742679,0.6128326996197719,0.5276235741444867,0.5803231939163498,0.5735931558935361
multi_probe_bge-r2p0,Multi-probe BGE,2.0,0.547011457902547,0.5986501901140684,0.49152091254752855,0.5315779467680609,0.5405830164765526
german_legal_selector_v2-r1p1,German selector V2,1.1,0.17798266313117794,0.6151330798479088,0.5376425855513308,0.6012927756653992,0.5846894803548797
german_legal_selector_v2-r1p25,German selector V2,1.25,0.2705378645972706,0.6191444866920153,0.5309885931558935,0.5963688212927757,0.5821673003802282
german_legal_selector_v2-r2p0,German selector V2,2.0,0.5496468565775496,0.6037832699619772,0.5123574144486692,0.5587832699619772,0.5583079847908745
dac_native_tokens-r1p1,DAC native,1.1,0.03920662336503922,0.6037452471482889,0.5302851711026616,0.5757794676806084,0.569936628643853
dac_native_tokens-r1p25,DAC native,1.25,0.10987585245010989,0.6191254752851711,0.5105133079847908,0.5527186311787072,0.5607858048162231
dac_native_tokens-r2p0,DAC native,2.0,0.39599905936539603,0.5559315589353613,0.4149239543726236,0.40912547528517107,0.4599936628643853
